,time,force_x,force_y,force_z,vibration_x,vibration_y,vibration_z,acoustic_emission_rms,tool_wear,ACTION_CODE,RUL
21,714,-0.908,9.06,-3.333,-0.064,-0.042,-0.046,0.116,0.059976616,0,0.112710221
22,748,4.256,12.655,-1.255,-0.181,-0.173,-0.136,0.143,0.063351288,0,0.109335549
23,782,-0.872,2.827,4.545,0.136,-0.035,0.079,0.109,0.063351288,0,0.109335549
24,816,3.02,0.529,4.941,-0.021,0.029,-0.056,0.082,0.063351288,0,0.109335549
25,850,4.799,3.065,-4.012,-0.056,-0.023,0.124,0.092,0.066425391,0,0.106261446
26,884,7.059,8.698,1.121,-0.022,0.039,0.097,0.105,0.066425391,0,0.106261446
27,918,-0.775,-1.849,5.104,-0.037,0.034,-0.001,0.108,0.066425391,0,0.106261446
28,952,1.678,2.597,6.224,0.048,0.071,-0.023,0.117,0.069216757,0,0.10347008
29,986,3.007,-1.314,-3.972,0.043,-0.026,0.033,0.114,0.069216757,0,0.10347008
30,1020,6.188,6.04,3.283,0,-0.031,0.056,0.12,0.069216757,0,0.10347008
31,1054,1.793,-3.312,8.794,-0.024,-0.098,-0.004,0.191,0.071742468,0,0.100944369
32,1088,3.402,3.184,-4.015,-0.024,0.019,-0.009,0.112,0.071742468,0,0.100944369
33,1122,9.6,0.743,-0.826,-0.005,-0.101,0.037,0.103,0.071742468,0,0.100944369
34,1156,1.13,0.652,0.282,-0.062,-0.058,-0.073,0.154,0.071742468,0,0.100944369
35,1190,2.732,-3.487,9.862,-0.053,0.075,-0.098,0.099,0.074018874,0,0.098667963
36,1224,2.968,9.023,-1.317,0.024,0.043,-0.018,0.107,0.074018874,0,0.098667963
37,1258,-0.113,-2.234,-0.68,0.083,0.121,0.085,0.133,0.074018874,0,0.098667963
38,1292,1.207,0.464,-3.801,-0.002,0.086,0,0.096,0.076061624,0,0.096625213
39,1326,12.297,8.763,-0.144,-0.001,0.058,0.106,0.116,0.076061624,0,0.096625213
40,1360,2.983,-6.734,5.614,0.056,0.094,-0.007,0.13,0.076061624,0,0.096625213
41,1394,3.755,1.247,2.523,-0.006,0.077,0.023,0.085,0.07788568,0,0.094801157
42,1428,12.164,0.322,0.496,-0.017,-0.007,0.044,0.128,0.07788568,0,0.094801157
43,1462,6.195,8.423,2.393,-0.102,-0.059,-0.078,0.136,0.07788568,0,0.094801157
44,1496,3.504,-0.032,8.176,0.025,-0.024,0.087,0.315,0.079505344,0,0.093181493
45,1530,2.633,-1.957,-5.578,-0.007,-0.03,-0.07,0.14,0.079505344,0,0.093181493
46,1564,13.283,17.332,2.018,0.071,0.004,0.037,0.134,0.079505344,0,0.093181493
47,1598,5.726,-0.217,6.42,-0.093,-0.036,-0.141,0.225,0.079505344,0,0.093181493
48,1632,5.001,-3.785,-3.517,-0.116,-0.128,-0.176,0.11,0.080934279,0,0.091752558
49,1666,14.259,20.457,1.882,0.087,0.091,0.143,0.118,0.080934279,0,0.091752558
50,1700,7.818,-1.751,2.86,-0.066,0.026,-0.075,0.112,0.080934279,0,0.091752558
51,1734,6.238,-1.807,9.969,-0.01,-0.183,0.109,0.123,0.082185527,0,0.09050131
52,1768,4.271,-3.595,-3.711,-0.129,-0.164,-0.173,0.147,0.082185527,0,0.09050131
53,1802,16.468,12.404,4.691,0.061,0.051,0.065,0.109,0.082185527,0,0.09050131
54,1836,8.856,2.7,5.624,0.013,-0.135,0.023,0.105,0.08327153,0,0.089415307
55,1870,10.92,1.438,-0.354,-0.13,-0.065,-0.037,0.154,0.08327153,0,0.089415307
56,1904,17.547,10.004,1.973,0.118,0.082,0.142,0.108,0.08327153,0,0.089415307
57,1938,12.508,12.864,-0.451,0.031,0.011,0.13,0.215,0.084204154,0,0.088482683
58,1972,8.002,0.223,7.002,-0.045,-0.136,-0.022,0.133,0.084204154,0,0.088482683
59,2006,9.032,-5.048,-4.627,-0.052,-0.044,-0.002,0.124,0.084204154,0,0.088482683
60,2040,18.376,11.37,5.777,-0.027,-0.108,-0.043,0.209,0.084204154,0,0.088482683
61,2074,8.799,0.673,9.427,0.087,-0.043,0.039,0.135,0.084994703,0,0.087692134
62,2108,10.515,-1.621,-2.339,-0.015,0.08,0.018,0.125,0.084994703,0,0.087692134
63,2142,17.253,7.399,2.232,0.042,-0.034,0.042,0.116,0.084994703,0,0.087692134
64,2176,0.256,-10.719,-0.598,-0.093,-0.085,-0.17,0.126,0.085653939,0,0.087032898
65,2210,3.244,12.88,1.387,0.001,0.018,-0.015,0.13,0.085653939,0,0.087032898
66,2244,3.357,0.799,-0.103,-0.015,0.06,0.007,0.116,0.085653939,0,0.087032898
67,2278,2.84,6.214,1.159,0.098,0.042,0.009,0.085,0.086192103,0,0.086494734
68,2312,-0.509,-7.974,-3.263,-0.126,-0.074,-0.198,0.111,0.086192103,0,0.086494734
69,2346,5.335,9.247,2.996,0.028,-0.053,-0.024,0.102,0.086192103,0,0.086494734
70,2380,0.915,3.167,1.354,0.122,0.077,-0.103,0.18,0.086618931,0,0.086067906
71,2414,-1.764,-5.591,-2.444,-0.022,0.011,-0.101,0.137,0.086618931,0,0.086067906
72,2448,4.934,10.47,0.692,-0.025,-0.125,-0.046,0.11,0.086618931,0,0.086067906
73,2482,3.877,0.57,3.238,-0.125,0.074,-0.124,0.194,0.086618931,0,0.086067906
74,2516,5.254,14.88,-4.802,-0.136,-0.085,-0.162,0.131,0.086943672,0,0.085743165
75,2550,0.952,-3.736,-3.967,-0.034,0.026,-0.026,0.12,0.086943672,0,0.085743165
76,2584,3.639,6.432,3.834,0.043,-0.174,-0.076,0.106,0.086943672,0,0.085743165
77,2618,1.253,11.119,-1.965,-0.065,0.045,-0.014,0.107,0.087175103,0,0.085511734
78,2652,1.897,3.321,5.634,-0.157,-0.099,-0.101,0.124,0.087175103,0,0.085511734
79,2686,4.315,3.625,-4.177,0.149,0.11,0.188,0.114,0.087175103,0,0.085511734
80,2720,-0.269,-5.862,9.958,-0.014,0.054,0.017,0.091,0.08732155,0,0.085365287
81,2754,5.414,7.118,0.264,-0.045,-0.038,0.027,0.123,0.08732155,0,0.085365287
82,2788,8.21,5.345,-1.347,-0.14,-0.078,0.01,0.093,0.08732155,0,0.085365287
83,2822,8.084,-4.092,-1.044,-0.075,0.013,0.072,0.158,0.087390901,0,0.085295936
84,2856,1.48,8.388,-0.992,0.067,-0.056,0.005,0.125,0.087390901,0,0.085295936
85,2890,1.55,2.822,10.813,0.022,-0.158,-0.068,0.123,0.087390901,0,0.085295936
86,2924,2.517,1.439,-2.977,0.072,0.074,0.082,0.028,0.087390901,0,0.085295936
87,2958,-3.972,6.313,-5.501,-0.118,-0.08,-0.156,0.098,0.087390901,0,0.085295936
88,2992,9.629,3.239,-4.09,0.103,0.006,0.078,0.117,0.087390901,0,0.085295936
89,3026,9.473,8.934,4.165,0.004,-0.087,-0.004,0.14,0.087390901,0,0.085295936
90,3060,1.677,-4.395,10.929,0.042,0.06,0.091,0.116,0.087390901,0,0.085295936
91,3094,0.892,5.935,-1.431,0.054,0.112,0.063,0.124,0.087390901,0,0.085295936
92,3128,7.985,5.421,-1.889,0.196,0.104,0.228,0.102,0.087390901,0,0.085295936
93,3162,3.448,14.293,-3.654,-0.007,0.074,0.07,0.093,0.087390901,0,0.085295936
94,3196,3.663,3.478,9.089,-0.007,0.022,0.006,0.123,0.087390901,0,0.085295936
95,3230,7.102,3.23,-4.57,0.074,0.138,0.094,0.101,0.087390901,0,0.085295936
96,3264,8.891,-6.931,-2.314,-0.045,0.008,-0.078,0.118,0.087390901,0,0.085295936
97,3298,1.764,5.129,-1.428,0.122,0.119,0.162,0.129,0.087390901,0,0.085295936
98,3332,3.886,3.637,9.734,0.084,0.091,0.037,0.091,0.087390901,0,0.085295936
99,3366,0.831,-5.13,11.063,0.143,0.043,0.128,0.171,0.087390901,0,0.085295936
100,3400,-2.037,9.662,-4.047,-0.057,0.047,-0.14,0.115,0.087390901,0,0.085295936
101,3434,9.882,0.414,-5.606,0.048,0.011,0.106,0.112,0.087390901,0,0.085295936
102,3468,8.095,10.591,4.749,-0.062,0.034,0.067,0.147,0.087390901,0,0.085295936
103,3502,5.226,-4.579,16.949,0.047,-0.008,-0.052,0.11,0.087390901,0,0.085295936
104,3536,9.966,-1.895,-0.096,0.058,-0.011,0.09,0.193,0.087390901,0,0.085295936
105,3570,1.104,-3.079,7.653,-0.114,-0.023,-0.113,0.135,0.087390901,0,0.085295936
106,3604,2.923,-0.564,11.551,0,-0.002,-0.037,0.11,0.087390901,0,0.085295936
107,3638,3.559,-1.454,-5.065,-0.028,-0.076,-0.026,0.144,0.087390901,0,0.085295936
108,3672,7.832,14.048,11.629,-0.013,-0.036,-0.054,0.11,0.087390901,0,0.085295936
109,3706,4.287,-5.293,12.689,-0.139,-0.026,-0.099,0.095,0.087390901,0,0.085295936
110,3740,9.739,-3.664,3.074,0.072,-0.041,-0.01,0.128,0.087390901,0,0.085295936
111,3774,0.507,-0.889,9.456,-0.046,0.044,-0.014,0.126,0.087390901,0,0.085295936
112,3808,-2.923,-9.115,-3.99,0.042,-0.029,-0.201,0.199,0.087390901,0,0.085295936
113,3842,3.418,11.922,5.932,-0.002,-0.052,-0.025,0.124,0.087390901,0,0.085295936
114,3876,7.171,-0.224,0.426,-0.05,-0.062,-0.017,0.133,0.087390901,0,0.085295936
115,3910,11.601,7.258,4.277,-0.044,-0.03,0.088,0.183,0.087390901,0,0.085295936
116,3944,2.447,2.877,8.154,0.005,-0.125,-0.057,0.094,0.087390901,0,0.085295936
117,3978,6.001,2.606,-1.832,-0.088,0.012,0.043,0.13,0.087390901,0,0.085295936
118,4012,10.456,10.969,5.273,0.01,0.069,0.125,0.098,0.087390901,0,0.085295936
119,4046,4.507,13.74,-4.341,-0.283,-0.179,-0.277,0.125,0.087390901,0,0.085295936
120,4080,1.924,3.723,-1.774,0.048,-0.006,0.078,0.121,0.087390901,0,0.085295936
121,4114,0.928,5.334,5.228,-0.101,-0.042,-0.123,0.082,0.087390901,0,0.085295936
122,4148,5.849,-4.273,12.626,0.051,0.01,-0.007,0.104,0.087390901,0,0.085295936
123,4182,5.876,12.139,-4.028,0.066,0.058,-0.019,0.104,0.087390901,0,0.085295936
124,4216,0.077,1.33,4.132,-0.064,-0.049,-0.047,0.094,0.087390901,0,0.085295936
125,4250,7.987,10.921,7.187,0.124,0.032,-0.068,0.139,0.087390901,0,0.085295936
126,4284,5.256,7.101,0.846,0.011,-0.029,-0.108,0.116,0.087390901,0,0.085295936
127,4318,1.845,-7.1,-4.475,0.053,0.042,0.03,0.151,0.087390901,0,0.085295936
128,4352,2.187,6.295,9.088,-0.111,-0.036,-0.071,0.175,0.087390901,0,0.085295936
129,4386,5.564,-2.903,16.526,-0.003,-0.011,-0.051,0.084,0.087390901,0,0.085295936
130,4420,6.174,5.23,-3.91,-0.038,-0.07,-0.025,0.136,0.087390901,0,0.085295936
131,4454,1.643,-4.553,2.861,-0.025,-0.057,-0.096,0.098,0.087390901,0,0.085295936
132,4488,7.069,9.134,9.287,0.066,-0.097,-0.016,0.102,0.087390901,0,0.085295936
133,4522,8.455,8.831,1.738,0.005,0.006,0.025,0.137,0.087390901,0,0.085295936
134,4556,-1.218,-3.836,1.716,-0.052,0.008,0.017,0.115,0.087390901,0,0.085295936
135,4590,2.899,4.068,-0.592,0.132,0.079,0.017,0.102,0.087390901,0,0.085295936
136,4624,3.35,-1.036,14.55,-0.061,0.042,-0.121,0.109,0.087390901,0,0.085295936
137,4658,9.833,8.727,-3.461,-0.008,-0.055,0.069,0.097,0.087390901,0,0.085295936
138,4692,1.615,-3.639,14.705,-0.134,-0.041,-0.065,0.151,0.087390901,0,0.085295936
139,4726,-3.096,-0.855,-0.744,0.008,0.059,-0.043,0.113,0.087390901,0,0.085295936
140,4760,4.664,11.666,6.132,0.175,0.029,0.071,0.118,0.087390901,0,0.085295936
141,4794,2.413,-1.509,0.224,-0.009,-0.026,0.009,0.057,0.087390901,0,0.085295936
142,4828,0.755,5.764,6.55,0.008,-0.027,-0.014,0.099,0.087395549,0,0.085291288
143,4862,6.656,4.039,-2.885,-0.032,-0.075,-0.046,0.12,0.087395549,0,0.085291288
144,4896,7.332,6.033,12.912,0.147,0.04,-0.031,0.108,0.087395549,0,0.085291288
145,4930,7.893,1.423,-0.933,-0.103,-0.186,-0.144,0.107,0.08792458,0,0.084762257
146,4964,0.293,3.632,8.378,0.106,0.01,0.056,0.114,0.08792458,0,0.084762257
147,4998,-1.92,5.874,-0.688,0.074,0.148,0.043,0.088,0.08792458,0,0.084762257
148,5032,6.763,7.035,-5.528,-0.105,-0.19,-0.103,0.096,0.088429888,0,0.084256949
149,5066,2.673,7.67,1.066,-0.002,0.002,0.084,0.122,0.088429888,0,0.084256949
150,5100,-0.397,3.207,4.513,0.009,-0.016,0.036,0.083,0.088429888,0,0.084256949
151,5134,6.334,2.651,5.665,0.088,0.091,0.16,0.122,0.088911696,0,0.083775141
152,5168,11.867,-0.367,0.299,0.064,-0.021,0.104,0.1,0.088911696,0,0.083775141
153,5202,1.565,1.195,15.954,0.077,-0.006,-0.078,0.118,0.088911696,0,0.083775141
154,5236,0.734,-3.036,14.598,0.156,0.157,0.291,0.174,0.089370263,0,0.083316574
155,5270,7.366,-2.965,-2.27,-0.167,-0.041,0.057,0.112,0.089370263,0,0.083316574
156,5304,7.964,15.498,10.447,-0.115,-0.014,-0.122,0.104,0.089370263,0,0.083316574
157,5338,7.036,5.372,3.047,-0.009,-0.019,-0.029,0.164,0.089370263,0,0.083316574
158,5372,11.375,-3.23,-1.684,0.131,0.135,0.04,0.112,0.089805882,0,0.082880955
159,5406,6.1,3.667,13.477,0.01,-0.007,-0.052,0.11,0.089805882,0,0.082880955
160,5440,6.898,5.665,0.494,0.109,0.081,0.024,0.099,0.089805882,0,0.082880955
161,5474,-2.24,2.728,10.151,-0.086,0.115,-0.055,0.121,0.09021888,0,0.082467957
162,5508,8.705,-2.243,-2.011,-0.103,0.006,0.017,0.123,0.09021888,0,0.082467957
163,5542,10.08,1.01,15.672,0.001,-0.025,-0.047,0.08,0.09021888,0,0.082467957
164,5576,9.18,0.135,-1.636,0.092,0.008,0.094,0.102,0.090609609,0,0.082077228
165,5610,1.063,10.101,3.538,-0.219,0.021,-0.019,0.112,0.090609609,0,0.082077228
166,5644,-0.487,1.244,2.929,0.029,0.039,0.071,0.084,0.090609609,0,0.082077228
167,5678,12.754,-6.289,4.011,-0.018,-0.219,-0.08,0.157,0.090978452,0,0.081708385
168,5712,2.718,2.589,9.216,0.078,-0.028,0.059,0.112,0.090978452,0,0.081708385
169,5746,-0.614,1.59,3.001,0.028,0.09,0.039,0.118,0.090978452,0,0.081708385
170,5780,5.219,6.301,3.78,0.037,0.086,0.035,0.177,0.090978452,0,0.081708385
171,5814,9.568,20.001,8.173,0.063,0.108,-0.016,0.102,0.091325818,0,0.081361019
172,5848,7.061,8.53,1.99,-0.043,-0.089,-0.101,0.119,0.091325818,0,0.081361019
173,5882,0.476,-1.513,0.078,0.007,0.096,0.078,0.12,0.091325818,0,0.081361019
174,5916,8.566,6.137,-3.58,-0.149,-0.048,0.001,0.096,0.091652136,0,0.081034701
175,5950,9.94,15.154,5.967,0.171,0.232,0.371,0.112,0.091652136,0,0.081034701
176,5984,1.178,3.293,6.519,-0.201,-0.049,-0.257,0.109,0.091652136,0,0.081034701
177,6018,11.424,5.68,0.219,-0.139,-0.054,0.001,0.079,0.09195786,0,0.080728977
178,6052,10.061,5.663,1.146,-0.001,-0.028,0.013,0.096,0.09195786,0,0.080728977
179,6086,0.949,4.308,12.185,-0.031,-0.032,-0.182,0.093,0.09195786,0,0.080728977
180,6120,2.371,-6.292,16.062,-0.048,0.053,0.235,0.198,0.092243463,0,0.080443374
181,6154,-0.481,10.191,-2.356,-0.052,0.054,-0.086,0.102,0.092243463,0,0.080443374
182,6188,4.469,9.412,1.92,0.014,0.03,0.031,0.099,0.092243463,0,0.080443374
183,6222,6.43,2.987,8.127,-0.064,0.03,-0.064,0.166,0.092243463,0,0.080443374
184,6256,-1.254,1.396,3.458,-0.183,-0.024,-0.064,0.126,0.092509436,0,0.080177401
185,6290,1.049,6.579,13.253,0.061,-0.013,0.031,0.102,0.092509436,0,0.080177401
186,6324,7.644,3.78,-2.659,-0.072,-0.05,-0.059,0.103,0.092509436,0,0.080177401
187,6358,-2.128,1.617,7.394,0.081,0.062,-0.133,0.137,0.092756286,0,0.079930551
188,6392,3.062,-8.165,-0.646,0.061,-0.02,-0.042,0.113,0.092756286,0,0.079930551
189,6426,4.082,7.589,12.664,-0.069,-0.073,-0.067,0.087,0.092756286,0,0.079930551
190,6460,8.664,1.131,-5.878,0.119,0.078,0.127,0.091,0.092984535,0,0.079702302
191,6494,9.32,19.209,11.203,-0.204,-0.005,-0.131,0.1,0.092984535,0,0.079702302
192,6528,6.526,4.367,0.123,-0.076,-0.041,-0.071,0.101,0.092984535,0,0.079702302
193,6562,6.36,4.492,-5.963,-0.006,0.038,0.123,0.123,0.093194718,0,0.079492119
194,6596,10.435,25.448,5.453,-0.108,-0.187,-0.088,0.106,0.093194718,0,0.079492119
195,6630,5.995,4.781,2.456,-0.069,-0.05,-0.071,0.11,0.093194718,0,0.079492119
196,6664,-4.421,-2.054,1.799,0.088,0.116,0.024,0.072,0.093194718,0,0.079492119
197,6698,7.872,-1.547,0.351,0.137,0.033,0.084,0.091,0.093387384,0,0.079299453
198,6732,9.877,-2.406,17.656,0.032,-0.05,-0.042,0.097,0.093387384,0,0.079299453
199,6766,9.495,11.48,-4.258,-0.032,-0.039,0.017,0.124,0.093387384,0,0.079299453
200,6800,1.646,15.384,1.149,-0.027,-0.047,-0.036,0.124,0.09356309,0,0.079123747
201,6834,1.843,5.826,6.786,-0.005,-0.029,0.044,0.122,0.09356309,0,0.079123747
202,6868,5.395,5.008,1.034,-0.042,-0.041,0.078,0.085,0.09356309,0,0.079123747
203,6902,3.979,19.992,1.891,0.021,0.129,0.22,0.096,0.093722403,0,0.078964434
204,6936,0.093,4.536,6.99,-0.005,0.019,0.008,0.123,0.093722403,0,0.078964434
205,6970,3.911,8.511,1.924,0.009,-0.037,0.038,0.087,0.093722403,0,0.078964434
206,7004,3.108,-1.58,14.157,0.084,0.046,0.036,0.123,0.093865896,0,0.078820941
207,7038,12.19,-2.721,-2.99,-0.004,0.027,-0.016,0.086,0.093865896,0,0.078820941
208,7072,10.185,1.895,18.287,0.149,0.068,0.09,0.123,0.093865896,0,0.078820941
209,7106,0.395,0.927,-0.341,0.013,-0.012,0.004,-0.005,0.093994151,0,0.078692686
210,7140,-0.372,9.481,-0.385,-0.054,-0.133,-0.075,0.089,0.093994151,0,0.078692686
211,7174,1.956,3.434,8.584,-0.095,-0.025,-0.13,0.082,0.093994151,0,0.078692686
212,7208,9.933,3.479,-6.108,-0.038,0.023,0.018,0.168,0.093994151,0,0.078692686
213,7242,4.053,-4.333,17.677,0.092,-0.022,0.026,0.119,0.094107753,0,0.078579084
214,7276,-2.513,1.757,-5.217,-0.098,0.011,-0.036,0.101,0.094107753,0,0.078579084
215,7310,6.279,6.054,2.635,0.022,-0.086,0.077,0.108,0.094107753,0,0.078579084
216,7344,7.336,15.356,-9.207,0.034,0.084,-0.05,0.102,0.094207293,0,0.078479544
217,7378,-1.027,4.661,-1.624,-0.096,-0.046,0.04,0.11,0.094207293,0,0.078479544
218,7412,2.968,8.125,6.49,-0.047,0.012,-0.046,0.078,0.094207293,0,0.078479544
219,7446,7.518,4.019,4.747,0.072,0.08,0.041,0.085,0.094293363,0,0.078393474
220,7480,8.657,-3.538,-1.942,0.072,-0.053,0.126,0.078,0.094293363,0,0.078393474
221,7514,4.391,3.568,14.895,-0.05,-0.022,-0.082,0.086,0.094293363,0,0.078393474
222,7548,2.158,8.665,-2.307,0.053,-0.002,-0.07,0.184,0.094366558,0,0.078320279
223,7582,7.863,-2.174,18.981,0.105,0.085,-0.103,0.079,0.094366558,0,0.078320279
224,7616,9.052,5.185,-7.88,-0.164,-0.222,-0.118,0.116,0.094366558,0,0.078320279
225,7650,0.912,-3.074,4.996,0.021,-0.036,0.04,0.153,0.094366558,0,0.078320279
226,7684,11.579,-0.586,-6.491,0.015,-0.076,-0.067,0.12,0.094427473,0,0.078259364
227,7718,9.4,8.527,13.197,-0.079,-0.183,-0.109,0.092,0.094427473,0,0.078259364
228,7752,4.345,5.852,-1.21,0.037,0.034,-0.045,0.105,0.094427473,0,0.078259364
229,7786,1.465,-0.013,-6.088,-0.016,0.064,0.065,0.11,0.094476703,0,0.078210134
230,7820,6.881,13.743,6.978,-0.091,-0.16,-0.187,0.104,0.094476703,0,0.078210134
231,7854,8.771,-0.037,-2.613,0.063,0.132,0.143,0.084,0.094476703,0,0.078210134
232,7888,8.937,-5.454,16.448,0,-0.098,-0.043,0.101,0.094514843,0,0.078171994
233,7922,5.838,11.261,-7.23,-0.121,-0.126,-0.229,0.093,0.094514843,0,0.078171994
234,7956,1.954,2.848,5.521,-0.039,-0.042,-0.017,0.087,0.094514843,0,0.078171994
235,7990,9.192,16.297,-5.299,-0.015,-0.061,-0.063,0.178,0.094542484,0,0.078144353
236,8024,-2.746,-4.105,-0.296,-0.111,-0.089,-0.025,0.084,0.094542484,0,0.078144353
237,8058,3.25,3.067,10.794,0.023,-0.142,-0.026,0.082,0.094542484,0,0.078144353
238,8092,9.997,3.929,-3.906,-0.136,0.028,0.102,0.235,0.094542484,0,0.078144353
239,8126,7.389,-1.019,17.515,0.159,0.132,0.081,0.097,0.094560216,0,0.078126621
240,8160,9.542,3.247,-4.63,-0.084,-0.101,-0.027,0.11,0.094560216,0,0.078126621
241,8194,3.669,3.701,10.651,-0.02,0.056,0.026,0.138,0.094560216,0,0.078126621
242,8228,2.027,4.568,0.817,0.14,0.011,-0.052,0.103,0.094568624,0,0.078118213
243,8262,8.385,2.31,14.686,0.021,0.003,0,0.087,0.094568624,0,0.078118213
244,8296,11.476,7.9,-7.013,0.045,0.01,0.096,0.113,0.094568624,0,0.078118213
245,8330,2.843,-17.507,2.147,0.062,0,-0.056,0.097,0.094568624,0,0.078118213
246,8364,8.801,2.911,15.03,0.075,-0.017,0.092,0.081,0.094568624,0,0.078118213
247,8398,11.364,3.784,-9.016,-0.057,0.014,0.027,0.093,0.094568624,0,0.078118213
248,8432,0.601,-2.864,15.893,-0.075,0.082,-0.082,0.164,0.094568624,0,0.078118213
249,8466,0.878,-6.171,-2.105,-0.148,-0.013,-0.08,0.096,0.094568624,0,0.078118213
250,8500,8.771,9.633,12.367,0.054,-0.098,-0.097,0.085,0.094568624,0,0.078118213
251,8534,8.384,0.432,0.736,0.009,-0.013,0.122,0.193,0.094568624,0,0.078118213
252,8568,6.398,15.528,-6.652,-0.1,-0.001,-0.04,0.107,0.094568624,0,0.078118213
253,8602,-1.866,2.991,1.196,0.005,0.009,0.067,0.097,0.094568624,0,0.078118213
254,8636,1.848,6.461,7.034,-0.254,-0.132,-0.28,0.158,0.094568624,0,0.078118213
255,8670,1.096,6.971,4.977,0.024,0.004,-0.07,0.119,0.094568624,0,0.078118213
256,8704,1.62,-4.488,-3.597,0.02,0.09,0.139,0.111,0.094568624,0,0.078118213
257,8738,8.919,10.189,13.616,0.066,0,-0.058,0.098,0.094568624,0,0.078118213
258,8772,10.048,6.837,-7.998,-0.015,0.099,-0.029,0.084,0.094568624,0,0.078118213
259,8806,8.87,21.23,7.871,0.156,-0.02,0.004,0.101,0.094568624,0,0.078118213
260,8840,4.679,1.239,-0.963,-0.031,0.003,-0.053,0.096,0.094568624,0,0.078118213
261,8874,1.085,2.909,3.608,-0.009,-0.01,0.167,0.133,0.094568624,0,0.078118213
262,8908,4.199,2.651,-0.61,0.217,0.002,-0.041,0.105,0.094568624,0,0.078118213
263,8942,8.199,1.93,12.758,-0.035,0.095,-0.036,0.085,0.094568624,0,0.078118213
264,8976,-0.052,3.395,0.272,0.034,0.018,0.028,-0.004,0.094568624,0,0.078118213
265,9010,7.594,2.828,17.839,0.053,-0.112,-0.153,0.087,0.094568624,0,0.078118213
266,9044,10.931,1.464,-6.03,0.015,0.048,0.098,0.106,0.094568624,0,0.078118213
267,9078,9.244,7.379,16.285,-0.025,-0.006,-0.184,0.124,0.094568624,0,0.078118213
268,9112,4.939,10.803,-0.143,0.103,0.14,0.058,0.108,0.094568624,0,0.078118213
269,9146,-2.474,-0.356,-2.229,-0.036,0.018,0.045,0.112,0.094568624,0,0.078118213
270,9180,1.336,3.904,5.787,0.058,0.105,-0.065,0.089,0.094568624,0,0.078118213
271,9214,12.317,15.526,12.025,-0.006,0.003,0.005,0.094,0.094568624,0,0.078118213
272,9248,6.608,11.558,-3.02,-0.129,-0.035,-0.065,0.117,0.094568624,0,0.078118213
273,9282,-0.578,2.93,7.078,0.039,-0.018,0.034,0.094,0.094568624,0,0.078118213
274,9316,10.404,1.403,18.209,0.213,-0.146,-0.108,0.098,0.094568624,0,0.078118213
275,9350,10.904,5.527,-6.76,-0.055,0,0.058,0.072,0.094568624,0,0.078118213
276,9384,9.918,13.879,15.373,-0.012,0.07,-0.105,0.099,0.094568624,0,0.078118213
277,9418,-3.682,-7.338,-0.438,-0.062,-0.144,-0.148,0.204,0.094568624,0,0.078118213
278,9452,3.682,4.433,16.62,-0.005,-0.049,-0.059,0.096,0.094568624,0,0.078118213
279,9486,11.8,3.057,-5.647,0.039,0.054,0.143,0.096,0.094568624,0,0.078118213
280,9520,17.235,4.783,19.643,0.073,-0.005,-0.129,0.188,0.094568624,0,0.078118213
281,9554,-1.607,2.871,8.327,0.016,0.036,-0.201,0.11,0.094568624,0,0.078118213
